prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority
東京都,千代田区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,千代田区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,千代田区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,千代田区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,中央区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,中央区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,中央区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,中央区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,港区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,港区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,港区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,港区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,新宿区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,新宿区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,新宿区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,新宿区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,文京区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,文京区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,文京区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,文京区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,台東区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
東京都,台東区,district_plan,用途地域,都市計画情報,,区公式,URL未登録,用途地域・建ぺい率・容積率確認用,municipality,1
東京都,台東区,hazard,洪水,洪水ハザードマップ,,区公式,URL未登録,洪水リスク確認用,municipality,1
東京都,台東区,building_guidance,建築確認,建築指導・建築確認関連,,区公式,URL未登録,建築制限・相談窓口確認用,municipality,1

東京都,墨田区,road,指定道路図,指定道路図,,区公式,URL未登録,重要事項説明で確認対象。URL登録前でも表示する,municipality,1
